,Unnamed: 0,Data,PRECIP. TOTAL (mm),PRESSÃO ATM. (mB),PRESSÃO MAX. (mB),PRESSÃO MIN. (mB),RADIAÇÃO GLOBAL (KJ/m²),TEMP. AR (°C),TEMP. ORVALHO (°C),TEMP. MÁX. (°C),TEMP. MÍN. (°C),TEMP. ORVALHO MAX. (°C),TEMP. ORVALHO MIN. (°C),UMID. REL. MAX. (%),UMID. REL. MIN. (%),UMID. REL. AR (%),DIREÇÃO VENTO (°),RAJADA VENTO (m/s),VEL. VENTO (m/s)
0,0,2002-01-01,0.0083333333333333,947.2083333333334,947.4916666666668,946.8791666666666,-3095.208333333333,24.554166666666664,20.466666666666665,24.9875,23.975,20.90833333333333,19.941666666666663,82.58333333333333,76.83333333333333,79.625,206.33333333333331,5.166666666666667,2.333333333333333
1,1,2002-01-02,0.0,948.7791666666668,948.9791666666666,948.5125,-2898.5,25.866666666666664,18.08333333333333,26.620833333333334,25.308333333333334,18.98333333333333,17.3625,70.20833333333333,62.083333333333336,66.08333333333333,200.5,4.016666666666667,2.091666666666667
2,2,2002-01-03,0.0,948.9875,949.1958333333332,948.7916666666666,-2906.2916666666665,25.64583333333333,15.845833333333331,26.191666666666663,24.9875,16.741666666666667,14.941666666666668,61.79166666666666,53.875,57.708333333333336,174.20833333333334,4.15,2.275
3,3,2002-01-04,0.0,948.8333333333334,949.025,948.65,-2891.625,26.391666666666666,15.675,27.1,25.70833333333333,16.599999999999998,14.729166666666666,58.41666666666666,50.375,54.5,180.08333333333334,4.216666666666667,2.279166666666667
4,4,2002-01-05,0.0,949.4166666666666,949.6458333333334,949.1333333333332,-3201.625,26.275,16.529166666666665,27.175,25.3875,17.670833333333334,15.5,63.125,51.125,56.958333333333336,177.75,3.595833333333333,1.85
5,5,2002-01-06,0.0416666666666666,949.5958333333332,949.8666666666668,949.325,-3346.0416666666665,25.2125,20.133333333333333,26.041666666666668,24.52916666666667,20.625,19.525,77.83333333333333,69.79166666666667,74.16666666666667,150.45833333333334,5.458333333333333,3.0375
6,6,2002-01-07,0.0,949.3,949.5916666666668,949.0375,-2972.958333333333,25.7875,19.54583333333333,26.33333333333333,25.1625,20.17083333333333,19.116666666666667,74.0,68.04166666666667,70.66666666666667,191.58333333333331,5.183333333333334,2.9875000000000003
7,7,2002-01-08,0.0,948.9833333333332,949.2041666666668,948.7083333333334,-3099.583333333333,26.9625,18.529166666666665,27.579166666666666,26.175,19.091666666666665,17.995833333333334,65.04166666666667,58.79166666666666,61.5,138.79166666666666,5.7625,3.5666666666666664
8,8,2002-01-09,0.0,950.7541666666666,951.0291666666668,950.4083333333332,-3308.0,26.05,18.779166666666665,26.8,25.445833333333336,19.3875,18.3375,69.16666666666667,62.41666666666666,65.625,91.83333333333331,8.216666666666667,4.5625
9,9,2002-01-10,-2083.125,-1328.7083333333333,-1328.5708333333334,-1328.9791666666667,-5767.958333333333,-2064.2875,-2069.1,-2063.8625,-2064.6,-2068.6375000000003,-2069.420833333333,-2025.8333333333333,-2030.2916666666667,-2028.0833333333333,-2013.3333333333333,-2075.1125,-2078.5125000000003
10,10,2002-01-11,-4166.058333333333,-3610.5833333333335,-3610.4125,-3610.741666666667,-8274.666666666666,-4153.829166666666,-4155.829166666666,-4153.675,-4153.9375,-4155.7625,-4156.004166666667,-4118.375,-4120.25,-4119.0,-4108.666666666667,-4161.129166666667,-4163.45
11,11,2002-01-12,-414.2083333333333,494.5625,494.8416666666667,494.3708333333333,-3672.9166666666665,-395.3458333333333,-396.8375,-394.85,-395.8541666666667,-396.5958333333333,-397.15,-327.4583333333333,-332.1666666666667,-329.4166666666667,-274.2916666666667,-409.39166666666665,-413.4583333333333
12,12,2002-01-13,0.1333333333333333,949.4041666666668,949.7,949.1958333333332,-3264.458333333333,24.78333333333333,20.883333333333333,25.241666666666664,24.004166666666663,21.33333333333333,20.59583333333333,83.5,77.33333333333333,79.5,254.5,7.1625000000000005,3.7125
13,13,2002-01-14,0.5416666666666666,949.2916666666666,949.6083333333332,949.0041666666666,-3452.0,24.325,21.491666666666664,24.95833333333333,23.85833333333333,21.975,21.054166666666667,86.83333333333333,81.33333333333333,84.75,248.375,5.870833333333334,2.6041666666666665
14,14,2002-01-15,0.15,947.5291666666668,947.8708333333334,947.2541666666666,-3351.0416666666665,23.84583333333333,20.33333333333333,24.33333333333333,23.3,20.775,19.90833333333333,85.29166666666667,79.70833333333333,82.25,215.25,5.408333333333334,2.670833333333333
15,15,2002-01-16,0.0,947.3416666666668,947.5583333333334,947.075,-3168.1666666666665,24.2625,19.779166666666665,24.808333333333334,23.65,20.2625,19.325,80.41666666666667,74.83333333333333,77.41666666666667,170.125,6.391666666666667,3.4333333333333336
16,16,2002-01-17,0.0,949.6125,949.8041666666668,949.3,-2966.1666666666665,24.491666666666664,18.166666666666668,25.15416666666667,23.754166666666663,18.7,17.666666666666668,73.04166666666667,66.875,69.79166666666667,132.16666666666666,6.066666666666666,3.375
